Occasion,Year,Month,Location,Sample_ID,Sample_type,Species,Weight (mg),N,d15N,C,d13C,CN
MAY_2021,2021,MAY,C2,C2052521007,Muscle_Tissue,MTS,0.95,13.29,13.8,44.6,-24.1,3.355906697
MAY_2021,2021,MAY,C2,C2052521008,Muscle_Tissue,BNT,0.948,13.63,12.95,44.68,-23.94,3.278063096
MAY_2021,2021,MAY,C2,C2052521009,Muscle_Tissue,BNT,1.074,13.58,12.85,44.51,-26.15,3.277614138
MAY_2021,2021,MAY,C2,C2052521010,Muscle_Tissue,BNT,1.042,13.47,12.55,45.13,-24.78,3.350408315
MAY_2021,2021,MAY,C2,C2052521012,Muscle_Tissue,BNT,1.129,13.7,13.12,45.44,-24.06,3.316788321
MAY_2021,2021,MAY,C2,C2052521013,Muscle_Tissue,BNT,0.931,13.27,13.42,44.38,-23.12,3.344385833
MAY_2021,2021,MAY,C2,C2052521014,Muscle_Tissue,BNT,0.945,13.09,13.27,44.21,-23.61,3.377387319
MAY_2021,2021,MAY,C2,C2052521022,Muscle_Tissue,MTS,0.987,13.5,14.36,45.45,-24.79,3.366666667
MAY_2021,2021,MAY,C2,C2052521026,Muscle_Tissue,MTS,1.078,13.62,13.86,44.97,-24.57,3.301762115
MAY_2021,2021,MAY,C2,C2052521049,Muscle_Tissue,BNT,1.025,13.19,13.19,42.85,-24.76,3.248673237
MAY_2021,2021,MAY,C2,C2052521050,Muscle_Tissue,BNT,0.991,13.43,13.14,43.67,-23.9,3.251675354
MAY_2021,2021,MAY,C2,C2052521051,Muscle_Tissue,BNT,1.077,13.67,13.2,44.83,-25.63,3.279444038
MAY_2021,2021,MAY,C2,C2052521056,Muscle_Tissue,MTS,1.136,13.67,13.94,46.31,-25.2,3.387710315
MAY_2021,2021,MAY,C2,C2052521062,Muscle_Tissue,MTS,1.118,13.44,13.25,45.61,-24.07,3.39360119
MAY_2021,2021,MAY,C2,C2052521063,Muscle_Tissue,BNT,0.947,13.73,13.95,45.34,-24.98,3.30225783
MAY_2021,2021,MAY,C2,C2052521064,Muscle_Tissue,BNT,1.031,13.79,12.93,45.17,-24.44,3.275562001
MAY_2021,2021,MAY,C2,C2052521068,Muscle_Tissue,BNT,1.014,13.77,13.18,46.21,-23.96,3.355846042
MAY_2021,2021,MAY,C2,C2052521070,Muscle_Tissue,BNT,1.19,13.53,13.01,45.28,-24.27,3.346637103
MAY_2021,2021,MAY,C2,C2052521074,Muscle_Tissue,MTS,0.919,13.26,13.74,43.67,-22.88,3.293363499
MAY_2021,2021,MAY,C2,C2052521075,Muscle_Tissue,BNT,0.944,13.69,12.38,44.89,-24.79,3.279035793
MAY_2021,2021,MAY,C2,C2052521080,Muscle_Tissue,BNT,1.109,13.73,13.43,45.44,-24.07,3.309541151
MAY_2021,2021,MAY,C2,C2052521095,Muscle_Tissue,BNT,1.04,13.47,13.46,43.9,-24.19,3.259094284
MAY_2021,2021,MAY,C2,C2052521096,Muscle_Tissue,BNT,0.949,13.41,13.37,43.36,-24.48,3.233407905
MAY_2021,2021,MAY,C2,C2052521115,Muscle_Tissue,BNT,0.984,13.57,12.82,45.43,-25.16,3.347826087
MAY_2021,2021,MAY,C2,C2052521124,Muscle_Tissue,MTS,0.975,13.46,13.99,44.12,-22.8,3.277860327
MAY_2021,2021,MAY,C2,C2052521134,Muscle_Tissue,BNT,0.92,13.37,12.55,44.01,-24.8,3.291697831
MAY_2021,2021,MAY,C2,C2052521136,Muscle_Tissue,BNT,0.993,14.06,13.1,44.96,-24.76,3.19772404
MAY_2021,2021,MAY,C2,C2052521143,Muscle_Tissue,MTS,1.057,14.09,14,45.97,-24.38,3.262597587
MAY_2021,2021,MAY,C2,C2052521183,Muscle_Tissue,MTS,0.978,13.82,13.56,45.79,-25.82,3.313314038
MAY_2021,2021,MAY,C2,C2052521188,Muscle_Tissue,MTS,1.089,13.98,13.9,46.27,-24.35,3.309728183
MAY_2021,2021,MAY,C2,C2052521195,Muscle_Tissue,MTS,1.02,13.53,13.56,45.27,-23.73,3.345898004
MAY_2021,2021,MAY,C2,C2052521209,Muscle_Tissue,MTS,1.025,13.83,13.95,45.85,-25.45,3.315256688
MAY_2021,2021,MAY,C2,C2052521210,Muscle_Tissue,MTS,1.059,13.64,14.09,45.71,-25.11,3.351173021
MAY_2021,2021,MAY,C2,C2052521211,Muscle_Tissue,MTS,0.956,13.31,14.35,44.09,-25.31,3.312546957
MAY_2021,2021,MAY,T1,T1052621015,Muscle_Tissue,MTS,0.974,14.07,14.21,45.16,-24.27,3.209665956
MAY_2021,2021,MAY,T1,T1052621036,Muscle_Tissue,MTS,1.157,14.07,13.91,44.91,-24.07,3.191897655
MAY_2021,2021,MAY,T1,T1052621038,Muscle_Tissue,MTS,1.014,13.93,12.94,45.13,-24.92,3.23977028
MAY_2021,2021,MAY,T1,T1052621040,Muscle_Tissue,BNT,1.01,13.94,13.42,44.54,-24.55,3.195121951
MAY_2021,2021,MAY,T1,T1052621041,Muscle_Tissue,BNT,1.06,14.24,12.45,44.79,-25.34,3.145365169
MAY_2021,2021,MAY,T1,T1052621043,Muscle_Tissue,MTS,0.954,14.12,13.36,46.45,-25.22,3.289660057
MAY_2021,2021,MAY,T1,T1052621044,Muscle_Tissue,BNT,0.9,14.13,12.18,45.07,-25.62,3.189667374
MAY_2021,2021,MAY,T1,T1052621046,Muscle_Tissue,BNT,0.938,14.59,13.38,44.52,-23.56,3.051405072
MAY_2021,2021,MAY,T1,T1052621049,Muscle_Tissue,BNT,0.924,13.28,12.6,41.55,-25.39,3.12876506
MAY_2021,2021,MAY,T1,T1052621054,Muscle_Tissue,BNT,1.043,13.86,12.89,44.07,-24.6,3.17965368
MAY_2021,2021,MAY,T1,T1052621057,Muscle_Tissue,BNT,1.001,13.59,12.36,42.72,-25.04,3.143487859
MAY_2021,2021,MAY,T1,T1052621058,Muscle_Tissue,BNT,1.025,13.92,12.64,43.81,-25.81,3.147270115
MAY_2021,2021,MAY,T1,T1052621059,Muscle_Tissue,MTS,0.943,14.18,13.64,45.59,-24.7,3.215091678
MAY_2021,2021,MAY,T1,T1052621064,Muscle_Tissue,BNT,0.998,14.01,13.21,43.43,-25.72,3.099928622
MAY_2021,2021,MAY,T1,T1052621074,Muscle_Tissue,BNT,1.037,14.55,13.34,45.42,-25.14,3.121649485
MAY_2021,2021,MAY,T1,T1052621076,Muscle_Tissue,MTS,1.018,13.81,13.8,43.36,-23.9,3.139753802
MAY_2021,2021,MAY,T1,T1052621079,Muscle_Tissue,BNT,1.111,14.28,13.47,44.54,-24.98,3.119047619
MAY_2021,2021,MAY,T1,T1052621080,Muscle_Tissue,BNT,1.006,13.81,13.59,42.81,-25.99,3.099927589
MAY_2021,2021,MAY,T1,T1052621082,Muscle_Tissue,BNT,1.098,13.86,12.6,45.65,-24.2,3.293650794
MAY_2021,2021,MAY,T1,T1052621083,Muscle_Tissue,MTS,0.996,13.82,14.45,46.21,-22.96,3.343704776
MAY_2021,2021,MAY,T1,T1052621084,Muscle_Tissue,BNT,0.988,13.8,12.64,44.13,-25.45,3.197826087
MAY_2021,2021,MAY,T1,T1052621091,Muscle_Tissue,MTS,0.943,13.86,14.02,46,-24.75,3.318903319
MAY_2021,2021,MAY,T1,T1052621095,Muscle_Tissue,BNT,1.089,13.91,13.26,44.89,-24.22,3.227174694
MAY_2021,2021,MAY,T1,T1052621096,Muscle_Tissue,BNT,1.006,14.22,13.75,45.9,-25.11,3.227848101
MAY_2021,2021,MAY,T1,T1052621098,Muscle_Tissue,MTS,1.044,13.61,14.34,44.86,-23.3,3.296105805
MAY_2021,2021,MAY,T1,T1052621099,Muscle_Tissue,BNT,0.943,14.27,13.76,45.71,-24.27,3.203223546
MAY_2021,2021,MAY,T1,T1052621119,Muscle_Tissue,MTS,0.951,13.78,14.38,45.61,-24.02,3.309869376
MAY_2021,2021,MAY,T1,T1052621121,Muscle_Tissue,BNT,1.067,14,13.14,45.45,-25.02,3.246428571
